number of item,datepub of item,title of item,link of item
75,"Sun, 30 Jan 2022 10:04:57 +0300","Священник-психолог назвал ""семинары личностного роста"" манипуляцией",https://ria.ru/20220130/psikhologiya-1770172368.html
76,"Sun, 30 Jan 2022 10:00:26 +0300",Максимальная скорость ракеты КНДР в 16 раз превысила скорость звука,https://ria.ru/20220130/raketa-1770172080.html
77,"Sun, 30 Jan 2022 09:50:04 +0300",В Троицком округе Москвы четыре человека отравились угарным газом,https://ria.ru/20220130/otravlenie-1770171382.html
78,"Sun, 30 Jan 2022 09:36:07 +0300",Москвичей предупредили о метели,https://ria.ru/20220130/moskva-1770170109.html
79,"Sun, 30 Jan 2022 09:25:37 +0300",Россияне в 2021 году стали чаще покупать мясо и реже — хлеб,https://ria.ru/20220130/produkty-1770169675.html
80,"Sun, 30 Jan 2022 09:20:05 +0300",Аэропорты Нью-Йорка намерены восстановить авиасообщение днем,https://ria.ru/20220130/aeroporty-1770169356.html
81,"Sun, 30 Jan 2022 09:10:27 +0300",Сеул осудил пуск КНДР ракеты средней дальности,https://ria.ru/20220130/kndr-1770169026.html
82,"Sun, 30 Jan 2022 08:54:52 +0300","В Москве школьница выпала с 22-го этажа и выжила, сообщил источник",https://ria.ru/20220130/shkolnitsa-1770168237.html
83,"Sun, 30 Jan 2022 08:44:27 +0300","В США считают, что Китай не намерен участвовать в ситуации на Украине",https://ria.ru/20220130/ukraina-1770168022.html
84,"Sun, 30 Jan 2022 08:24:48 +0300","КНДР близка к нарушению моратория на пуски МБР, заявил глава Южной Кореи",https://ria.ru/20220130/kndr-1770167554.html
85,"Sun, 30 Jan 2022 08:22:10 +0300",Врач посоветовал заменить горячую ванну при ОРВИ на теплый душ,https://ria.ru/20220130/orvi-1770167389.html
86,"Sun, 30 Jan 2022 08:16:54 +0300",Президент Южной Кореи назвал пуск ракеты КНДР нарушением резолюций СБ ООН,https://ria.ru/20220130/raketa-1770167218.html
87,"Sun, 30 Jan 2022 08:09:26 +0300",Эксперт назвал еврооблигации хорошей альтернативой валютному вкладу,https://ria.ru/20220130/evroobligatsii-1770166746.html
88,"Sun, 30 Jan 2022 08:06:46 +0300",В Колумбии при нападении на губернатора погибли двое полицейских,https://ria.ru/20220130/kolumbiya-1770166514.html
89,"Sun, 30 Jan 2022 07:56:05 +0300",Трамп пообещал помиловать участников штурма Капитолия,https://ria.ru/20220130/shturm-1770166231.html
90,"Sun, 30 Jan 2022 07:41:05 +0300",Трамп пообещал коррупционное расследование против Байдена,https://ria.ru/20220130/korruptsiya-1770165688.html
91,"Sun, 30 Jan 2022 07:35:31 +0300","Исследование показало, сколько россиян делают накопления",https://ria.ru/20220130/nakopleniya-1770165209.html
92,"Sun, 30 Jan 2022 06:43:51 +0300",Трамп высмеял телефонный разговор Байдена с Зеленским,https://ria.ru/20220130/razgovor-1770164794.html
93,"Sun, 30 Jan 2022 06:30:03 +0300","Трамп предрек ""некие события"" вокруг Тайваня после Олимпиады в Пекине",https://ria.ru/20220130/tayvan-1770164512.html
94,"Sun, 30 Jan 2022 06:01:38 +0300",Трамп назвал одну из причин кризиса вокруг Украины,https://ria.ru/20220130/krizis-1770164257.html
95,"Sun, 30 Jan 2022 05:52:12 +0300",Трамп обвинил Байдена в угрозе начала третьей мировой войны,https://ria.ru/20220130/voyna-1770164021.html
96,"Sun, 30 Jan 2022 05:37:27 +0300",В ДТП с микроавтобусом в Мексике погибли 13 человек,https://ria.ru/20220130/meksika-1770163885.html
97,"Sun, 30 Jan 2022 05:26:11 +0300","""Поставили на колени"": на Украине назвали срок начала закупки газа у России",https://ria.ru/20220130/gaz-1770163623.html
98,"Sun, 30 Jan 2022 05:20:18 +0300",В Раде вспомнили слова Николая II из-за ситуации вокруг Украины,https://ria.ru/20220130/imperator-1770163431.html
99,"Sun, 30 Jan 2022 04:15:22 +0300",Финансист оценил перспективы рубля на начало февраля,https://ria.ru/20220130/rubl-1770090114.html
100,"Sun, 30 Jan 2022 03:56:10 +0300",NYT предупредила о крахе фондового рынка из-за санкций США против России,https://ria.ru/20220130/sanktsii-1770162181.html
